,sector,ticker,name
96,Technology,AMD,ADVANCED MICRO DEVICES INC
97,Healthcare,NXTC,NEXTCURE     INC
98,Energy,TDW,TIDEWATER INC NEW
99,Utilities,EVRG,EVERGY INC
100,Healthcare,CBPO,CHINA BIOLOGIC PRODS HLDGS I
101,Financial Services,RLI,RLI CORP
102,Basic Materials,NUE,NUCOR CORP
103,Consumer Cyclical,SGC,SUPERIOR GRP OF COMPANIES IN
104,Basic Materials,TRX,TANZANIAN GOLD CORP
105,Industrials,NDSN,NORDSON CORP
106,Financial Services,SMBC,SOUTHERN MO BANCORP INC
107,Healthcare,HNGR,HANGER INC
108,Consumer Cyclical,SIG,SIGNET     JEWELERS    LIMITED
109,Industrials,CODA,CODA OCTOPUS GROUP INC
110,Financial Services,DHIL,DIAMOND HILL INVT GROUP INC
111,Technology,AEY,ADDVANTAGE TECHNOLOGIES GP I
112,Technology,QCOM,QUALCOMM INC
113,Consumer Defensive,JBSS,SANFILIPPO JOHN B & SON INC
114,Industrials,DXPE,DXP ENTERPRISES INC
115,Technology,SMIT,SCHMITT INDS INC ORE
116,Financial Services,BLK,BLACKROCK   INC
117,Healthcare,CDMO,AVID BIOSERVICES INC
118,Industrials,SSD,SIMPSON MANUFACTURING CO INC
119,Consumer Defensive,PPC,PILGRIMS PRIDE CORP
120,Consumer Cyclical,BSET,BASSETT FURNITURE INDS INC
121,Energy,SM,SM ENERGY CO
122,Industrials,CW,CURTISS WRIGHT CORP
123,Financial Services,HBCP,HOME BANCORP INC
124,Technology,REFR,RESEARCH FRONTIERS INC
125,Energy,GIFI,GULF ISLAND FABRICATION INC
126,Healthcare,MEIP,MEI PHARMA INC
127,Technology,MKSI,MKS INSTRS INC
128,Technology,JNPR,JUNIPER NETWORKS INC
129,Industrials,HOLI,HOLLYSYS AUTOMATION TCHNGY L
130,Financial Services,NSEC,NATIONAL SEC GROUP INC
131,Technology,SLAB,SILICON LABORATORIES INC
132,Healthcare,AMED,AMEDISYS INC
133,Basic Materials,GRA,GRACE W R & CO DEL NEW
134,Technology,ASYS,AMTECH SYS INC
135,Financial Services,ERIE,ERIE INDTY CO
136,Technology,AMAT,APPLIED MATLS INC
137,Healthcare,AMS,AMERICAN SHARED HOSPITAL SVC
138,Communication Services,BCE,BCE INC
139,Healthcare,BDX,BECTON DICKINSON & CO
140,Financial Services,NEWT,NEWTEK BUSINESS SVCS CORP
141,Communication Services,TGNA,TEGNA INC
142,Healthcare,VAR,VARIAN MED SYS INC
143,Industrials,SXI,STANDEX   INTL     CORP
144,Healthcare,HSTM,HEALTHSTREAM INC
145,Energy,AROC,ARCHROCK INC
146,Financial Services,EWBC,EAST WEST BANCORP INC
147,Industrials,HSON,HUDSON GLOBAL INC
148,Industrials,PLPC,PREFORMED LINE PRODS CO
149,Consumer Cyclical,CMG,CHIPOTLE MEXICAN GRILL INC
150,Industrials,QUAD,QUAD / GRAPHICS INC
151,Energy,RRC,RANGE RES CORP
152,Industrials,CAI,CAI INTERNATIONAL INC
153,Financial Services,PGC,PEAPACK-GLADSTONE FINL CORP
154,Industrials,IGC,INDIA GLOBALIZATION CAP INC
155,Industrials,TGH,TEXTAINER GROUP HOLDINGS LTD
156,Financial Services,THG,HANOVER INS GROUP INC
157,Healthcare,NBIX,NEUROCRINE BIOSCIENCES INC
158,Consumer Cyclical,HD,HOME DEPOT INC
159,Industrials,HURC,HURCO COMPANIES INC
160,Consumer Cyclical,INTG,INTERGROUP CORP
161,Industrials,BLDP,BALLARD    PWR  SYS     INC   NEW
162,Consumer Cyclical,MCRI,MONARCH     CASINO     &   RESORT     INC
163,Industrials,GHM,GRAHAM CORP
164,Technology,OLED,UNIVERSAL DISPLAY CORP
165,Financial Services,CCBG,CAPITAL CITY BK GROUP INC
166,Industrials,CTAS,CINTAS  CORP
167,Technology,AZPN,ASPEN TECHNOLOGY INC
168,Financial Services,EIG,EMPLOYERS HOLDINGS INC
169,Real Estate,JOE,ST JOE CO
170,Communication Services,SPOK,SPOK HLDGS INC
171,Financial Services,UIHC,UNITED INS HLDGS CORP
172,Healthcare,PKI,PERKINELMER INC
173,Energy,WHD,CACTUS INC
174,Healthcare,RUBY,RUBIUS THERAPEUTICS INC
175,Industrials,ARLO,ARLO TECHNOLOGIES INC
176,Financial Services,CBNK,CAPITAL BANCORP INC MD
177,Technology,CLPS,CLPS INCORPORATION
178,Healthcare,IMAC,IMAC HLDGS INC
179,Basic Materials,CMP,COMPASS   MINERALS       INTL  INC
180,Financial Services,CFFN,CAPITOL FED FINL INC
181,Basic Materials,HBM,HUDBAY MINERALS INC
182,Technology,PRGS,PROGRESS SOFTWARE CORP
183,Healthcare,RDNT,RADNET INC
184,Technology,FLT,FLEETCOR     TECHNOLOGIES       INC
185,Industrials,CYRX,CRYOPORT INC
186,Healthcare,USPH,U S PHYSICAL THERAPY INC
187,Technology,ASUR,ASURE SOFTWARE INC
188,Energy,PFIE,PROFIRE ENERGY INC
189,Technology,INTC,INTEL CORP
190,Energy,NGS,NATURAL GAS SERVICES GROUP
191,Healthcare,CHE,CHEMED CORP NEW
192,Utilities,PCG,PG&E   CORP
193,Consumer Cyclical,IP,INTERNATIONAL PAPER CO
194,Financial Services,USB,US BANCORP DEL
195,Industrials,KSU,KANSAS CITY SOUTHERN
196,Financial Services,FIBK,FIRST  INTST  BANCSYSTEM       INC
197,Consumer Cyclical,SHOO,MADDEN STEVEN LTD
198,Utilities,IDA,IDACORP INC
199,Healthcare,XTNT,XTANT MED HLDGS INC
200,Basic Materials,AVD,AMERICAN VANGUARD CORP
201,Technology,NCR,NCR   CORP   NEW
202,Financial Services,TBNK,TERRITORIAL BANCORP INC
203,Industrials,MIC,MACQUARIE INFRASTRUCTURE COR
204,Healthcare,TRIL,TRILLIUM THERAPEUTICS INC
205,Healthcare,CPRX,CATALYST   PHARMACEUTICALS       INC
206,Industrials,WIRE,ENCORE WIRE CORP
207,Industrials,TATT,TAT TECHNOLOGIES LTD
208,Financial Services,EQS,
209,Financial Services,CATC,CAMBRIDGE BANCORP
210,Real Estate,JLL,JONES LANG LASALLE INC
211,Energy,PXD,PIONEER NAT RES CO
212,Technology,ZIXI,ZIX CORP
213,Technology,UEPS,NET 1 UEPS TECHNOLOGIES INC
214,Financial Services,KMPR,KEMPER CORP
215,Financial Services,IVZ,INVESCO     LTD
216,Financial Services,WRLD,WORLD ACCEP CORP DEL
217,Industrials,GBX,GREENBRIER      COS   INC
218,Financial Services,UNTY,UNITY BANCORP INC
219,Healthcare,SSY,SUNLINK HEALTH SYS INC
220,Industrials,MLI,MUELLER INDS INC
221,Industrials,GLDD,GREAT LAKES DREDGE & DOCK CO
222,Communication Services,IZEA,IZEA       WORLDWIDE       INC
223,Healthcare,SYBX,SYNLOGIC INC
224,Technology,APPF,APPFOLIO     INC
225,Energy,NEXT,NEXTDECADE CORP
226,Basic Materials,AA,ALCOA CORP
227,Real Estate,GYRO,
228,Financial Services,BFC,BANK FIRST CORP
229,Healthcare,PULM,PULMATRIX INC
230,Consumer Cyclical,BURL,BURLINGTON          STORES      INC
231,Technology,KEYS,KEYSIGHT TECHNOLOGIES INC
232,Healthcare,AGTC,APPLIED GENETIC TECHNOLOGIES
233,Consumer Cyclical,HLT,HILTON WORLDWIDE HLDGS INC
234,Technology,RPAY,REPAY HLDGS CORP
235,Financial Services,SMMC,SOUTH MOUNTAIN-A
236,Technology,KN,KNOWLES CORP
237,Consumer Defensive,SJM,SMUCKER J M CO
238,Utilities,PNM,PNM RES INC
239,Technology,ST,SENSATA TECHNOLOGIES HLDNG P
240,Healthcare,CI,CIGNA CORP NEW
241,Financial Services,DB,DEUTSCHE BANK A G
242,Consumer Cyclical,FL,FOOT LOCKER INC
243,Basic Materials,NP,NEENAH INC
244,Consumer Cyclical,CAL,CALERES INC
245,Industrials,PH,PARKER-HANNIFIN CORP
246,Energy,NR,NEWPARK RES INC
247,Healthcare,NEPH,NEPHROS   INC
248,Healthcare,JYNT,JOINT CORP
249,Healthcare,XBIT,XBIOTECH INC
250,Healthcare,QURE,UNIQURE     NV
251,Healthcare,NK,NANTKWEST     INC
252,Real Estate,RLGY,REALOGY HLDGS CORP
253,Healthcare,CVS,CVS HEALTH CORP
254,Healthcare,ABBV,ABBVIE INC
255,Financial Services,ALLY,ALLY   FINL  INC
256,Technology,SWIR,SIERRA WIRELESS INC
257,Healthcare,HMSY,HMS HLDGS CORP
258,Consumer Cyclical,REAL,THE   REALREAL     INC
259,Healthcare,BCEL,ATRECA   INC
260,Consumer Defensive,AFYA,AFYA LTD
261,Healthcare,NAVB,NAVIDEA BIOPHARMACEUTICALS I
262,Healthcare,SURF,SURFACE ONCOLOGY INC
263,Healthcare,AXLA,AXCELLA HEALTH INC
264,Healthcare,AGE,AGEX   THERAPEUTICS       INC
265,Healthcare,TCDA,TRICIDA   INC
266,Consumer Cyclical,UFAB,UNIQUE FABRICATING INC
267,Technology,HPE,HEWLETT PACKARD ENTERPRISE C
268,Technology,RESN,RESONANT INC
269,Healthcare,TTOO,T2   BIOSYSTEMS     INC
270,Healthcare,INOV,INOVALON HLDGS INC
271,Technology,XELA,EXELA TECHNOLOGIES INC
272,Financial Services,SFBS,SERVISFIRST    BANCSHARES        INC
273,Healthcare,KIN,KINDRED BIOSCIENCES INC
274,Basic Materials,GCP,GCP APPLIED TECHNOLOGIES INC
275,Financial Services,ENVA,ENOVA INTL INC
276,Communication Services,OTEL,OTELCO INC
277,Technology,CDW,CDW CORP
278,Communication Services,NWSA,NEWS CORP NEW
279,Healthcare,CNCE,CONCERT PHARMACEUTICALS INC
280,Consumer Cyclical,ARMK,ARAMARK
281,Consumer Defensive,HMHC,HOUGHTON   MIFFLIN    HARCOURT         CO
282,Industrials,CNHI,CNH INDL N V
283,Financial Services,MCB,METROPOLITAN BK HLDG CORP
284,Communication Services,RBBN,RIBBON COMMUNICATIONS INC
285,Technology,MAXR,MAXAR TECHNOLOGIES INC
286,Healthcare,ETON,ETON PHARMACEUTICALS INC
287,Healthcare,KERN,AKERNA CORP
288,Healthcare,HARP,HARPOON THERAPEUTICS INC
289,Communication Services,TRUE,TRUECAR INC
290,Basic Materials,RKDA,ARCADIA BIOSCIENCES INC
291,Consumer Cyclical,FND,FLOOR  &  DECOR  HLDGS  INC
292,Consumer Cyclical,IGT,INTERNATIONAL GAME TECHNOLOG
293,Financial Services,SCM,STELLUS   CAP  INVT    CORP
294,Consumer Cyclical,MANU,MANCHESTER UTD PLC NEW
295,Healthcare,ACHC,ACADIA HEALTHCARE COMPANY IN
296,Communication Services,LBTYK,LIBERTY GLOBAL PLC
297,Financial Services,CFB,CROSSFIRST BANKSHARES INC
298,Energy,TGP,TEEKAY LNG PARTNERS L P
299,Healthcare,BBI,BRICKELL BIOTECH INC
300,Basic Materials,UNVR,UNIVAR SOLUTIONS USA INC
301,Healthcare,AIM,AIM  IMMUNOTECH     INC
302,Healthcare,MRKR,MARKER THERAPEUTICS INC
303,Healthcare,XGN,EXAGEN INC
304,Financial Services,FSEA,FIRST  SEACOAST       BANCORP
305,Consumer Cyclical,PRPL,PURPLE     INNOVATION      INC
306,Healthcare,ACRS,ACLARIS THERAPEUTICS INC
307,Financial Services,NODK,NI HLDGS INC
308,Technology,YEXT,YEXT   INC
309,Industrials,VVI,VIAD   CORP
310,Consumer Cyclical,SAH,SONIC   AUTOMOTIVE    INC
311,Healthcare,CUTR,CUTERA INC
312,Technology,SMTC,SEMTECH CORP
313,Financial Services,BYFC,BROADWAY FINL CORP DEL
314,Consumer Defensive,MDLZ,MONDELEZ INTL INC
315,Consumer Cyclical,AMWD,AMERICAN WOODMARK CORPORATIO
316,Industrials,RAIL,FREIGHTCAR AMER INC
317,Basic Materials,MTX,MINERALS   TECHNOLOGIES          INC
318,Financial Services,MPB,MID PENN BANCORP INC
319,Financial Services,AJG,GALLAGHER ARTHUR J & CO
320,Industrials,AIR,AAR CORP
321,Technology,NVDA,NVIDIA CORPORATION
322,Utilities,NEE,NEXTERA     ENERGY     INC
323,Industrials,ALG,ALAMO GROUP INC
324,Industrials,AWI,ARMSTRONG WORLD INDS INC
325,Healthcare,MNOV,MEDICINOVA INC
326,Industrials,BBSI,BARRETT BUSINESS SVCS INC
327,Technology,GIB,CGI INC
328,Energy,RES,RPC INC
329,Basic Materials,SCCO,SOUTHERN COPPER CORP
330,Financial Services,SFNC,SIMMONS    1ST   NATL      CORP
331,Consumer Defensive,RMCF,ROCKY MTN CHOCOLATE FACTORY
332,Industrials,RSG,REPUBLIC SVCS INC
333,Technology,AUDC,AUDIOCODES LTD
334,Financial Services,UBSI,UNITED  BANKSHARES          INC   WEST  V
335,Technology,TACT,TRANSACT TECHNOLOGIES INC
336,Consumer Cyclical,BKE,BUCKLE INC
337,Financial Services,CBU,COMMUNITY BK SYS INC
338,Healthcare,ABUS,ARBUTUS BIOPHARMA CORP
339,Healthcare,VERU,VERU INC
340,Technology,PAR,PAR   TECHNOLOGY      CORP
341,Financial Services,FGBI,FIRST GTY BANCSHARES INC
342,Healthcare,INSM,INSMED   INC
343,Financial Services,Y,ALLEGHANY CORP DEL
344,Technology,EXFO,EXFO INC
345,Financial Services,HTH,HILLTOP HOLDINGS INC
346,Healthcare,SYN,SYNTHETIC BIOLOGICS INC
347,Consumer Cyclical,KIRK,KIRKLANDS INC
348,Technology,SSNT,SILVERSUN TECHNOLOGIES INC
349,Financial Services,GDOT,GREEN DOT CORP
350,Consumer Cyclical,SCI,SERVICE CORP INTL
351,Financial Services,SHBI,SHORE BANCSHARES INC
352,Consumer Defensive,STKL,SUNOPTA INC
353,Consumer Cyclical,MHO,M/I   HOMES   INC
354,Financial Services,OFG,OFG BANCORP
355,Financial Services,HMN,HORACE MANN EDUCATORS CORP N
356,Consumer Cyclical,MMYT,MAKEMYTRIP LIMITED MAURITIUS
357,Communication Services,CCOI,COGENT COMMUNICATIONS HLDGS
358,Technology,RIOT,RIOT BLOCKCHAIN INC
359,Technology,RDWR,RADWARE LTD
360,Financial Services,CTBI,COMMUNITY TR BANCORP INC
361,Financial Services,CHCO,CITY   HLDG   CO
362,Financial Services,BCBP,BCB BANCORP INC
363,Financial Services,SYBT,STOCK YDS BANCORP INC
364,Basic Materials,AXU,ALEXCO   RESOURCE     CORP
365,Healthcare,RGLS,REGULUS     THERAPEUTICS       INC
366,Healthcare,MLND,MILLENDO THERAPEUTICS INC
367,Real Estate,TPHS,TRINITY    PL     HLDGS   INC
368,Consumer Cyclical,TMHC,TAYLOR MORRISON HOME CORP
369,Basic Materials,IKNX,IKONICS CORP
370,Energy,GEOS,GEOSPACE TECHNOLOGIES CORP
371,Consumer Defensive,NWL,NEWELL BRANDS INC
372,Industrials,PBI,PITNEY BOWES INC
373,Financial Services,EBMT,EAGLE BANCORP MONT INC
374,Healthcare,RGEN,REPLIGEN CORP
375,Consumer Defensive,EPC,EDGEWELL PERS CARE CO
376,Technology,LPSN,LIVEPERSON     INC
377,Healthcare,YMAB,Y-MABS    THERAPEUTICS      INC
378,Financial Services,MFIN,MEDALLION      FINL    CORP
379,Financial Services,WFC,WELLS FARGO CO NEW
380,Consumer Cyclical,WHR,WHIRLPOOL CORP
381,Healthcare,XRAY,DENTSPLY SIRONA INC
382,Healthcare,IRWD,IRONWOOD PHARMACEUTICALS INC
383,Consumer Cyclical,SBUX,STARBUCKS CORP
384,Consumer Cyclical,BBBY,BED   BATH  &    BEYOND     INC
385,Industrials,PPSI,PIONEER PWR SOLUTIONS INC
386,Energy,CLNE,CLEAN ENERGY FUELS CORP
387,Industrials,TNC,TENNANT CO
388,Communication Services,CNSL,CONSOLIDATED COMM HLDGS INC
389,Consumer Cyclical,CHWY,CHEWY INC
390,Consumer Cyclical,CATO,CATO CORP NEW
391,Consumer Defensive,ALCO,ALICO INC
392,Basic Materials,KGC,KINROSS GOLD CORP
393,Basic Materials,EXK,ENDEAVOUR SILVER CORP
394,Industrials,OESX,ORION ENERGY SYSTEMS INC
395,Healthcare,MLSS,MILESTONE   SCIENTIFIC        INC
396,Financial Services,BHB,BAR HBR BANKSHARES
397,Communication Services,NFLX,NETFLIX INC
398,Technology,NPTN,NEOPHOTONICS CORP
399,Basic Materials,RS,RELIANCE STEEL & ALUMINUM CO
400,Healthcare,HBIO,HARVARD BIOSCIENCE INC
401,Industrials,TEX,TEREX CORP NEW
402,Basic Materials,LXU,LSB INDS INC
403,Real Estate,CHCI,COMSTOCK HLDG COS INC
404,Financial Services,OPY,OPPENHEIMER HLDGS INC
405,Technology,IDN,INTELLICHECK INC
406,Healthcare,NNVC,NANOVIRICIDES INC
407,Financial Services,AMBC,AMBAC FINL GROUP INC
408,Energy,VNOM,VIPER ENERGY PARTNERS LP
409,Healthcare,TNXP,TONIX   PHARMACEUTICALS       HLDG  C
410,Consumer Cyclical,VNCE,VINCE HLDG CORP
411,Technology,HBB,HAMILTON BEACH BRANDS HLDG C
412,Healthcare,SDGR,SCHRODINGER INC
413,Healthcare,TCON,TRACON PHARMACEUTICALS INC
414,Industrials,TFII,TFI INTL INC
415,Healthcare,BYSI,BEYONDSPRING INC
416,Industrials,AQUA,EVOQUA WATER TECHNOLOGIES CO
417,Consumer Cyclical,KXIN,KAIXIN AUTO HLDGS
418,Communication Services,LIVX,LIVEXLIVE MEDIA INC
419,Healthcare,CODX,CO-DIAGNOSTICS         INC
420,Financial Services,CGBD,TCG BDC INC
421,Financial Services,WTRE,WATFORD       HLDGS    LTD
422,Consumer Cyclical,SHAK,SHAKE SHACK INC
423,Healthcare,KALV,KALVISTA  PHARMACEUTICALS        INC
424,Communication Services,NWS,NEWS CORP NEW
425,Financial Services,NMIH,NMI HLDGS INC
426,Healthcare,CARA,CARA THERAPEUTICS INC
427,Industrials,CVU,CPI AEROSTRUCTURES INC
428,Energy,UEC,URANIUM ENERGY CORP
429,Consumer Cyclical,SON,SONOCO PRODS CO
430,Communication Services,WIFI,BOINGO WIRELESS INC
431,Technology,LLNW,LIMELIGHT   NETWORKS      INC
432,Energy,FLNG,
433,Financial Services,OCFC,OCEANFIRST FINL CORP
434,Energy,VET,VERMILION ENERGY INC
435,Consumer Cyclical,TKAT,
436,Technology,GWRE,GUIDEWIRE SOFTWARE INC
437,Industrials,TPIC,TPI COMPOSITES INC
438,Financial Services,KNSL,KINSALE CAP GROUP INC
439,Technology,WDAY,WORKDAY INC
440,Technology,QLYS,QUALYS INC
441,Healthcare,PRTA,PROTHENA CORP PLC
442,Financial Services,COOP,MR COOPER GROUP INC
443,Consumer Cyclical,BERY,BERRY GLOBAL GROUP INC
444,Financial Services,FOCS,FOCUS   FINL     PARTNERS    INC
445,Healthcare,FIXX,HOMOLOGY    MEDICINES        INC
446,Technology,ZUO,ZUORA INC
447,Healthcare,NRC,NATIONAL RESH CORP
448,Consumer Defensive,SFM,SPROUTS FMRS MKT INC
449,Industrials,KODK,EASTMAN     KODAK     CO
450,Healthcare,INGN,INOGEN INC
451,Technology,FEYE,FIREEYE INC
452,Technology,BNFT,BENEFITFOCUS INC
453,Industrials,BLD,TOPBUILD CORP
454,Technology,RPD,RAPID7   INC
455,Technology,AIRG,AIRGAIN INC
456,Consumer Cyclical,HGV,HILTON   GRAND    VACATIONS      INC
457,Healthcare,SRTS,SENSUS HEALTHCARE INC
458,Healthcare,XFOR,X4 PHARMACEUTICALS INC
459,Healthcare,STIM,NEURONETICS INC
460,Healthcare,KNSA,KINIKSA PHARMACEUTICALS LTD
461,Healthcare,TLRY,TILRAY   INC
462,Utilities,NWN,NORTHWEST NAT HLDG CO
463,Healthcare,GKOS,GLAUKOS     CORP
464,Basic Materials,CC,CHEMOURS CO
465,Healthcare,ANAB,ANAPTYSBIO INC
466,Healthcare,LIVN,LIVANOVA     PLC
467,Healthcare,SYRS,SYROS   PHARMACEUTICALS        INC
468,Consumer Defensive,CCEP,COCA COLA EUROPEAN PARTNERS
469,Healthcare,SELB,SELECTA BIOSCIENCES INC
470,Industrials,WAB,WABTEC
471,Industrials,FPAY,FLEXSHOPPER INC
472,Financial Services,TREE,LENDINGTREE       INC   NEW
473,Utilities,PPL,PPL   CORP
474,Industrials,SCX,STARRETT L S CO
475,Consumer Cyclical,CTB,COOPER TIRE & RUBR CO
476,Healthcare,EHC,ENCOMPASS HEALTH CORP
477,Financial Services,BDGE,BRIDGE BANCORP INC
478,Consumer Cyclical,VIRC,VIRCO MFG CO
479,Energy,WMB,WILLIAMS   COS     INC
480,Basic Materials,CHNR,
481,Financial Services,HNNA,HENNESSY ADVISORS INC
482,Healthcare,PRPH,PROPHASE LABS INC
483,Financial Services,APAM,ARTISAN PARTNERS ASSET MGMT
484,Financial Services,AINV,APOLLO INVT CORP
485,Consumer Cyclical,WEN,WENDYS CO
486,Financial Services,MTB,M    &  T  BK   CORP
487,Healthcare,DMAC,DIAMEDICA THERAPEUTICS INC
488,Industrials,AGCO,AGCO CORP
489,Healthcare,RVP,RETRACTABLE TECHNOLOGIES INC
490,Utilities,GWRS,GLOBAL WTR RES INC
491,Consumer Defensive,CHEF,CHEFS WHSE INC
492,Communication Services,FB,FACEBOOK INC
493,Industrials,AWX,AVALON HLDGS CORP
494,Energy,INT,WORLD  FUEL    SVCS   CORP
495,Consumer Cyclical,KAR,KAR AUCTION SVCS INC
496,Industrials,CPRT,COPART   INC
497,Technology,MEI,METHODE ELECTRS INC
498,Financial Services,EVR,EVERCORE INC
499,Energy,TRGP,TARGA RES CORP
500,Technology,SNPS,SYNOPSYS   INC
501,Technology,MSI,MOTOROLA SOLUTIONS INC
502,Healthcare,PTN,PALATIN TECHNOLOGIES INC
503,Consumer Defensive,TSN,TYSON FOODS INC
504,Financial Services,TCBI,TEXAS CAP BANCSHARES INC
505,Financial Services,SVBI,SEVERN  BANCORP     INC   ANNAPOLIS
506,Real Estate,HHC,HOWARD HUGHES CORP
507,Healthcare,SNOA,SONOMA PHARMACEUTICALS INC
508,Financial Services,EFSC,ENTERPRISE FINL SVCS CORP
509,Energy,CPG,CRESCENT PT ENERGY CORP
510,Basic Materials,PAAS,PAN AMERN SILVER CORP
511,Utilities,ETR,ENTERGY CORP NEW
512,Energy,PNRG,PRIMEENERGY RESOURCES CORP
513,Financial Services,NRIM,NORTHRIM BANCORP INC
514,Consumer Cyclical,NKE,NIKE INC
515,Financial Services,BOCH,BANK COMM HLDGS
516,Healthcare,OFIX,ORTHOFIX MED INC
517,Consumer Defensive,FIZZ,NATIONAL BEVERAGE CORP
518,Consumer Defensive,CASY,CASEYS GEN STORES INC
519,Consumer Cyclical,OSTK,OVERSTOCK COM INC DEL
520,Consumer Cyclical,WKHS,WORKHORSE    GROUP    INC
521,Financial Services,PFS,PROVIDENT FINL SVCS INC
522,Industrials,DCO,DUCOMMUN INC DEL
